case,datetime,electricity [kWh]
Synthetic,2014-01-07T20:00:00Z,147.63
Synthetic,2014-01-07T21:00:00Z,144.59
Synthetic,2014-01-07T22:00:00Z,150.61
Synthetic,2014-01-07T23:00:00Z,41.62
Synthetic,2014-01-08T00:00:00Z,38.94
Synthetic,2014-01-08T01:00:00Z,38.94
Synthetic,2014-01-08T02:00:00Z,38.94
Synthetic,2014-01-08T03:00:00Z,41.52
Synthetic,2014-01-08T04:00:00Z,42.75
Synthetic,2014-01-08T05:00:00Z,42.9
Synthetic,2014-01-08T06:00:00Z,45.6
Synthetic,2014-01-08T07:00:00Z,177.02
Synthetic,2014-01-08T08:00:00Z,153.96
Synthetic,2014-01-08T09:00:00Z,174.91
Synthetic,2014-01-08T10:00:00Z,153.73
Synthetic,2014-01-08T11:00:00Z,148.55
Synthetic,2014-01-08T12:00:00Z,148.16
Synthetic,2014-01-08T13:00:00Z,149.92
Synthetic,2014-01-08T14:00:00Z,144.72
Synthetic,2014-01-08T15:00:00Z,136.19
Synthetic,2014-01-08T16:00:00Z,133.04
Synthetic,2014-01-08T17:00:00Z,143.32
Synthetic,2014-01-08T18:00:00Z,154.94
Synthetic,2014-01-08T19:00:00Z,129.31
Synthetic,2014-01-08T20:00:00Z,130.31
Synthetic,2014-01-08T21:00:00Z,125.45
Synthetic,2014-01-08T22:00:00Z,129.44
Synthetic,2014-01-08T23:00:00Z,41.62
Synthetic,2014-01-09T00:00:00Z,38.94
Synthetic,2014-01-09T01:00:00Z,38.94
Synthetic,2014-01-09T02:00:00Z,38.94
Synthetic,2014-01-09T03:00:00Z,38.94
Synthetic,2014-01-09T04:00:00Z,44.33
Synthetic,2014-01-09T05:00:00Z,46.26
Synthetic,2014-01-09T06:00:00Z,48.63
Synthetic,2014-01-09T07:00:00Z,183.84
Synthetic,2014-01-09T08:00:00Z,158.29
Synthetic,2014-01-09T09:00:00Z,173.91
Synthetic,2014-01-09T10:00:00Z,150.14
Synthetic,2014-01-09T11:00:00Z,144.3
Synthetic,2014-01-09T12:00:00Z,142.64
Synthetic,2014-01-09T13:00:00Z,143.71
Synthetic,2014-01-09T14:00:00Z,137.87
Synthetic,2014-01-09T15:00:00Z,128.42
Synthetic,2014-01-09T16:00:00Z,125.73
Synthetic,2014-01-09T17:00:00Z,135.87
Synthetic,2014-01-09T18:00:00Z,144.62
Synthetic,2014-01-09T19:00:00Z,119.3
Synthetic,2014-01-09T20:00:00Z,120.91
Synthetic,2014-01-09T21:00:00Z,114.03
Synthetic,2014-01-09T22:00:00Z,118.44
Synthetic,2014-01-09T23:00:00Z,41.62
Synthetic,2014-01-10T00:00:00Z,38.94
Synthetic,2014-01-10T01:00:00Z,38.94
Synthetic,2014-01-10T02:00:00Z,38.94
Synthetic,2014-01-10T03:00:00Z,38.94
Synthetic,2014-01-10T04:00:00Z,38.94
Synthetic,2014-01-10T05:00:00Z,38.94
Synthetic,2014-01-10T06:00:00Z,41.62
Synthetic,2014-01-10T07:00:00Z,172.47
Synthetic,2014-01-10T08:00:00Z,153.14
Synthetic,2014-01-10T09:00:00Z,178.24
Synthetic,2014-01-10T10:00:00Z,154.8
Synthetic,2014-01-10T11:00:00Z,141.53
Synthetic,2014-01-10T12:00:00Z,139.67
Synthetic,2014-01-10T13:00:00Z,141.19
Synthetic,2014-01-10T14:00:00Z,135.56
Synthetic,2014-01-10T15:00:00Z,128.43
Synthetic,2014-01-10T16:00:00Z,127.2
Synthetic,2014-01-10T17:00:00Z,141.38
Synthetic,2014-01-10T18:00:00Z,148.95
Synthetic,2014-01-10T19:00:00Z,117.71
Synthetic,2014-01-10T20:00:00Z,124.15
Synthetic,2014-01-10T21:00:00Z,117.33
Synthetic,2014-01-10T22:00:00Z,120.99
Synthetic,2014-01-10T23:00:00Z,41.62
Synthetic,2014-01-11T00:00:00Z,38.94
Synthetic,2014-01-11T01:00:00Z,33.58
Synthetic,2014-01-11T02:00:00Z,33.58
Synthetic,2014-01-11T03:00:00Z,33.58
Synthetic,2014-01-11T04:00:00Z,33.58
Synthetic,2014-01-11T05:00:00Z,33.58
Synthetic,2014-01-11T06:00:00Z,33.58
Synthetic,2014-01-11T07:00:00Z,143.51
Synthetic,2014-01-11T08:00:00Z,115.83
Synthetic,2014-01-11T09:00:00Z,113.8
Synthetic,2014-01-11T10:00:00Z,104.89
Synthetic,2014-01-11T11:00:00Z,101.02
Synthetic,2014-01-11T12:00:00Z,101.7
Synthetic,2014-01-11T13:00:00Z,99.3
Synthetic,2014-01-11T14:00:00Z,96.5
Synthetic,2014-01-11T15:00:00Z,81.32
Synthetic,2014-01-11T16:00:00Z,77.1
Synthetic,2014-01-11T17:00:00Z,78.87
Synthetic,2014-01-11T18:00:00Z,90.78
Synthetic,2014-01-11T19:00:00Z,33.58
Synthetic,2014-01-11T20:00:00Z,33.58
Synthetic,2014-01-11T21:00:00Z,33.58
Synthetic,2014-01-11T22:00:00Z,33.58
Synthetic,2014-01-11T23:00:00Z,33.58
Synthetic,2014-01-12T00:00:00Z,33.58
Synthetic,2014-01-12T01:00:00Z,33.58
Synthetic,2014-01-12T02:00:00Z,33.58
Synthetic,2014-01-12T03:00:00Z,33.58
Synthetic,2014-01-12T04:00:00Z,33.58
Synthetic,2014-01-12T05:00:00Z,33.58
Synthetic,2014-01-12T06:00:00Z,33.58
Synthetic,2014-01-12T07:00:00Z,33.58
Synthetic,2014-01-12T08:00:00Z,23.71
Synthetic,2014-01-12T09:00:00Z,18.77
Synthetic,2014-01-12T10:00:00Z,18.77
Synthetic,2014-01-12T11:00:00Z,18.77
Synthetic,2014-01-12T12:00:00Z,18.77
Synthetic,2014-01-12T13:00:00Z,18.77
Synthetic,2014-01-12T14:00:00Z,18.77
Synthetic,2014-01-12T15:00:00Z,18.77
Synthetic,2014-01-12T16:00:00Z,18.77
Synthetic,2014-01-12T17:00:00Z,21.24
Synthetic,2014-01-12T18:00:00Z,33.58
Synthetic,2014-01-12T19:00:00Z,33.58
Synthetic,2014-01-12T20:00:00Z,33.58
Synthetic,2014-01-12T21:00:00Z,33.58
Synthetic,2014-01-12T22:00:00Z,33.58
Synthetic,2014-01-12T23:00:00Z,33.58
Synthetic,2014-01-13T00:00:00Z,33.58
Synthetic,2014-01-13T01:00:00Z,38.94
Synthetic,2014-01-13T02:00:00Z,42.43
Synthetic,2014-01-13T03:00:00Z,44.21
Synthetic,2014-01-13T04:00:00Z,46.36
Synthetic,2014-01-13T05:00:00Z,45.98
Synthetic,2014-01-13T06:00:00Z,50.67
Synthetic,2014-01-13T07:00:00Z,195.3
Synthetic,2014-01-13T08:00:00Z,163.92
Synthetic,2014-01-13T09:00:00Z,172.55
Synthetic,2014-01-13T10:00:00Z,146.99
Synthetic,2014-01-13T11:00:00Z,140.64
Synthetic,2014-01-13T12:00:00Z,137.67
Synthetic,2014-01-13T13:00:00Z,137.54
Synthetic,2014-01-13T14:00:00Z,131.08
Synthetic,2014-01-13T15:00:00Z,121.85
Synthetic,2014-01-13T16:00:00Z,119.42
Synthetic,2014-01-13T17:00:00Z,124.7
Synthetic,2014-01-13T18:00:00Z,133.18
Synthetic,2014-01-13T19:00:00Z,103.45
Synthetic,2014-01-13T20:00:00Z,103.55
Synthetic,2014-01-13T21:00:00Z,96.61
Synthetic,2014-01-13T22:00:00Z,100.58
Synthetic,2014-01-13T23:00:00Z,41.62
Synthetic,2014-01-14T00:00:00Z,38.94
Synthetic,2014-01-14T01:00:00Z,38.94
Synthetic,2014-01-14T02:00:00Z,38.94
Synthetic,2014-01-14T03:00:00Z,38.94
Synthetic,2014-01-14T04:00:00Z,38.94
Synthetic,2014-01-14T05:00:00Z,38.94
Synthetic,2014-01-14T06:00:00Z,41.62
Synthetic,2014-01-14T07:00:00Z,117.13
Synthetic,2014-01-14T08:00:00Z,112.26
Synthetic,2014-01-14T09:00:00Z,144.26
Synthetic,2014-01-14T10:00:00Z,132.35
Synthetic,2014-01-14T11:00:00Z,128.84
Synthetic,2014-01-14T12:00:00Z,130.07
Synthetic,2014-01-14T13:00:00Z,132.05
Synthetic,2014-01-14T14:00:00Z,130.48
Synthetic,2014-01-14T15:00:00Z,124.46
Synthetic,2014-01-14T16:00:00Z,120.6
Synthetic,2014-01-14T17:00:00Z,127.51
Synthetic,2014-01-14T18:00:00Z,135.83
Synthetic,2014-01-14T19:00:00Z,108.58
Synthetic,2014-01-14T20:00:00Z,108.87
Synthetic,2014-01-14T21:00:00Z,98.2
Synthetic,2014-01-14T22:00:00Z,101.18
Synthetic,2014-01-14T23:00:00Z,41.62
Synthetic,2014-01-15T00:00:00Z,38.94
Synthetic,2014-01-15T01:00:00Z,38.94
Synthetic,2014-01-15T02:00:00Z,38.94
Synthetic,2014-01-15T03:00:00Z,38.94
Synthetic,2014-01-15T04:00:00Z,38.94
Synthetic,2014-01-15T05:00:00Z,38.94
Synthetic,2014-01-15T06:00:00Z,41.62
Synthetic,2014-01-15T07:00:00Z,137.39
Synthetic,2014-01-15T08:00:00Z,124.75
Synthetic,2014-01-15T09:00:00Z,152.73
Synthetic,2014-01-15T10:00:00Z,133.59
Synthetic,2014-01-15T11:00:00Z,128.85
Synthetic,2014-01-15T12:00:00Z,128.91
Synthetic,2014-01-15T13:00:00Z,130.15
Synthetic,2014-01-15T14:00:00Z,126.63
Synthetic,2014-01-15T15:00:00Z,119.17
Synthetic,2014-01-15T16:00:00Z,117.7
Synthetic,2014-01-15T17:00:00Z,127.42
Synthetic,2014-01-15T18:00:00Z,136.26
Synthetic,2014-01-15T19:00:00Z,103.48
Synthetic,2014-01-15T20:00:00Z,104.13
Synthetic,2014-01-15T21:00:00Z,96.78
Synthetic,2014-01-15T22:00:00Z,100.17
Synthetic,2014-01-15T23:00:00Z,41.62
Synthetic,2014-01-16T00:00:00Z,38.94
Synthetic,2014-01-16T01:00:00Z,38.94
Synthetic,2014-01-16T02:00:00Z,38.94
Synthetic,2014-01-16T03:00:00Z,38.94
Synthetic,2014-01-16T04:00:00Z,38.94
Synthetic,2014-01-16T05:00:00Z,38.94
Synthetic,2014-01-16T06:00:00Z,41.62
Synthetic,2014-01-16T07:00:00Z,134.85
Synthetic,2014-01-16T08:00:00Z,124.12
Synthetic,2014-01-16T09:00:00Z,153.31
Synthetic,2014-01-16T10:00:00Z,134.58
Synthetic,2014-01-16T11:00:00Z,130.89
Synthetic,2014-01-16T12:00:00Z,131.97
Synthetic,2014-01-16T13:00:00Z,133.36
Synthetic,2014-01-16T14:00:00Z,130.68
Synthetic,2014-01-16T15:00:00Z,122.89
Synthetic,2014-01-16T16:00:00Z,120.63
Synthetic,2014-01-16T17:00:00Z,127.99
Synthetic,2014-01-16T18:00:00Z,138.71
Synthetic,2014-01-16T19:00:00Z,109.77
Synthetic,2014-01-16T20:00:00Z,111.17
Synthetic,2014-01-16T21:00:00Z,104.25
Synthetic,2014-01-16T22:00:00Z,108.09
Synthetic,2014-01-16T23:00:00Z,41.62
Synthetic,2014-01-17T00:00:00Z,38.94
Synthetic,2014-01-17T01:00:00Z,38.94
Synthetic,2014-01-17T02:00:00Z,38.94
Synthetic,2014-01-17T03:00:00Z,38.94
Synthetic,2014-01-17T04:00:00Z,38.94
Synthetic,2014-01-17T05:00:00Z,38.94
Synthetic,2014-01-17T06:00:00Z,41.62
Synthetic,2014-01-17T07:00:00Z,162.44
Synthetic,2014-01-17T08:00:00Z,141.04
Synthetic,2014-01-17T09:00:00Z,162.36
Synthetic,2014-01-17T10:00:00Z,140.46
Synthetic,2014-01-17T11:00:00Z,135.39
Synthetic,2014-01-17T12:00:00Z,133.88
Synthetic,2014-01-17T13:00:00Z,134.75
Synthetic,2014-01-17T14:00:00Z,129.63
Synthetic,2014-01-17T15:00:00Z,121.43
Synthetic,2014-01-17T16:00:00Z,119.54
Synthetic,2014-01-17T17:00:00Z,126.82
Synthetic,2014-01-17T18:00:00Z,137.42
Synthetic,2014-01-17T19:00:00Z,107.97
Synthetic,2014-01-17T20:00:00Z,110.2
Synthetic,2014-01-17T21:00:00Z,103.79
Synthetic,2014-01-17T22:00:00Z,107.56
Synthetic,2014-01-17T23:00:00Z,41.62
Synthetic,2014-01-18T00:00:00Z,38.94
Synthetic,2014-01-18T01:00:00Z,33.58
Synthetic,2014-01-18T02:00:00Z,33.58
Synthetic,2014-01-18T03:00:00Z,33.58
Synthetic,2014-01-18T04:00:00Z,33.58
Synthetic,2014-01-18T05:00:00Z,33.58
Synthetic,2014-01-18T06:00:00Z,33.58
Synthetic,2014-01-18T07:00:00Z,148.04
Synthetic,2014-01-18T08:00:00Z,120.93
Synthetic,2014-01-18T09:00:00Z,114.52
Synthetic,2014-01-18T10:00:00Z,104.43
Synthetic,2014-01-18T11:00:00Z,100.42
Synthetic,2014-01-18T12:00:00Z,101.09
Synthetic,2014-01-18T13:00:00Z,98.31
Synthetic,2014-01-18T14:00:00Z,94.6
Synthetic,2014-01-18T15:00:00Z,76.1
Synthetic,2014-01-18T16:00:00Z,77
Synthetic,2014-01-18T17:00:00Z,86.48
Synthetic,2014-01-18T18:00:00Z,107.62
Synthetic,2014-01-18T19:00:00Z,33.58
Synthetic,2014-01-18T20:00:00Z,33.58
Synthetic,2014-01-18T21:00:00Z,33.58
Synthetic,2014-01-18T22:00:00Z,33.58
Synthetic,2014-01-18T23:00:00Z,33.58
Synthetic,2014-01-19T00:00:00Z,33.58
Synthetic,2014-01-19T01:00:00Z,40.44
Synthetic,2014-01-19T02:00:00Z,40.07
Synthetic,2014-01-19T03:00:00Z,42.99
Synthetic,2014-01-19T04:00:00Z,41.73
Synthetic,2014-01-19T05:00:00Z,44.8
Synthetic,2014-01-19T06:00:00Z,42.8
Synthetic,2014-01-19T07:00:00Z,46.38
Synthetic,2014-01-19T08:00:00Z,32.99
Synthetic,2014-01-19T09:00:00Z,26.75
Synthetic,2014-01-19T10:00:00Z,23.48
Synthetic,2014-01-19T11:00:00Z,24.75
Synthetic,2014-01-19T12:00:00Z,23.24
Synthetic,2014-01-19T13:00:00Z,24.01
Synthetic,2014-01-19T14:00:00Z,22.25
Synthetic,2014-01-19T15:00:00Z,18.77
Synthetic,2014-01-19T16:00:00Z,18.77
Synthetic,2014-01-19T17:00:00Z,23
Synthetic,2014-01-19T18:00:00Z,37.27
Synthetic,2014-01-19T19:00:00Z,38.86
Synthetic,2014-01-19T20:00:00Z,38.44
Synthetic,2014-01-19T21:00:00Z,40.07
Synthetic,2014-01-19T22:00:00Z,39.45
Synthetic,2014-01-19T23:00:00Z,41.32
Synthetic,2014-01-20T00:00:00Z,40.54
Synthetic,2014-01-20T01:00:00Z,42.38
Synthetic,2014-01-20T02:00:00Z,41.3
Synthetic,2014-01-20T03:00:00Z,43.17
Synthetic,2014-01-20T04:00:00Z,41.95
Synthetic,2014-01-20T05:00:00Z,43.78
Synthetic,2014-01-20T06:00:00Z,42.44
Synthetic,2014-01-20T07:00:00Z,44.5
Synthetic,2014-01-20T08:00:00Z,32.03
Synthetic,2014-01-20T09:00:00Z,25.06
Synthetic,2014-01-20T10:00:00Z,22.72
Synthetic,2014-01-20T11:00:00Z,22.94
Synthetic,2014-01-20T12:00:00Z,18.77
Synthetic,2014-01-20T13:00:00Z,18.77
Synthetic,2014-01-20T14:00:00Z,18.77
Synthetic,2014-01-20T15:00:00Z,18.77
Synthetic,2014-01-20T16:00:00Z,18.77
Synthetic,2014-01-20T17:00:00Z,21.24
Synthetic,2014-01-20T18:00:00Z,33.58
Synthetic,2014-01-20T19:00:00Z,36
Synthetic,2014-01-20T20:00:00Z,37.39
Synthetic,2014-01-20T21:00:00Z,38.66
Synthetic,2014-01-20T22:00:00Z,38.16
Synthetic,2014-01-20T23:00:00Z,40.1
Synthetic,2014-01-21T00:00:00Z,39.82
Synthetic,2014-01-21T01:00:00Z,47.04
Synthetic,2014-01-21T02:00:00Z,46.81
Synthetic,2014-01-21T03:00:00Z,49.42
Synthetic,2014-01-21T04:00:00Z,48.83
Synthetic,2014-01-21T05:00:00Z,52.01
Synthetic,2014-01-21T06:00:00Z,53.78
Synthetic,2014-01-21T07:00:00Z,234.28
Synthetic,2014-01-21T08:00:00Z,195.86
Synthetic,2014-01-21T09:00:00Z,206.14
Synthetic,2014-01-21T10:00:00Z,189.94
Synthetic,2014-01-21T11:00:00Z,178.31
Synthetic,2014-01-21T12:00:00Z,166.08
Synthetic,2014-01-21T13:00:00Z,168.71
Synthetic,2014-01-21T14:00:00Z,159.11
Synthetic,2014-01-21T15:00:00Z,151.09
Synthetic,2014-01-21T16:00:00Z,148.89
Synthetic,2014-01-21T17:00:00Z,154.78
Synthetic,2014-01-21T18:00:00Z,173.02
Synthetic,2014-01-21T19:00:00Z,149.35
Synthetic,2014-01-21T20:00:00Z,150.47
Synthetic,2014-01-21T21:00:00Z,147.32
Synthetic,2014-01-21T22:00:00Z,150.04
Synthetic,2014-01-21T23:00:00Z,41.62
Synthetic,2014-01-22T00:00:00Z,38.94
Synthetic,2014-01-22T01:00:00Z,47.08
Synthetic,2014-01-22T02:00:00Z,47.31
Synthetic,2014-01-22T03:00:00Z,52.36
Synthetic,2014-01-22T04:00:00Z,58.48
Synthetic,2014-01-22T05:00:00Z,71
Synthetic,2014-01-22T06:00:00Z,73.49
Synthetic,2014-01-22T07:00:00Z,239.96
Synthetic,2014-01-22T08:00:00Z,197.73
Synthetic,2014-01-22T09:00:00Z,205.19
Synthetic,2014-01-22T10:00:00Z,176.38
Synthetic,2014-01-22T11:00:00Z,166.86
Synthetic,2014-01-22T12:00:00Z,163.41
Synthetic,2014-01-22T13:00:00Z,165.27
Synthetic,2014-01-22T14:00:00Z,156.14
Synthetic,2014-01-22T15:00:00Z,145.38
Synthetic,2014-01-22T16:00:00Z,141.13
Synthetic,2014-01-22T17:00:00Z,145.89
Synthetic,2014-01-22T18:00:00Z,165.69
Synthetic,2014-01-22T19:00:00Z,142.9
Synthetic,2014-01-22T20:00:00Z,145.09
Synthetic,2014-01-22T21:00:00Z,141.97
Synthetic,2014-01-22T22:00:00Z,145.76
Synthetic,2014-01-22T23:00:00Z,41.62
Synthetic,2014-01-23T00:00:00Z,40.36
Synthetic,2014-01-23T01:00:00Z,47.32
Synthetic,2014-01-23T02:00:00Z,47.72
Synthetic,2014-01-23T03:00:00Z,51.22
Synthetic,2014-01-23T04:00:00Z,50.56
Synthetic,2014-01-23T05:00:00Z,59.45
Synthetic,2014-01-23T06:00:00Z,68.09
Synthetic,2014-01-23T07:00:00Z,230.26
Synthetic,2014-01-23T08:00:00Z,190.45
Synthetic,2014-01-23T09:00:00Z,196.83
Synthetic,2014-01-23T10:00:00Z,166.7
Synthetic,2014-01-23T11:00:00Z,158.47
Synthetic,2014-01-23T12:00:00Z,156.09
Synthetic,2014-01-23T13:00:00Z,156.79
Synthetic,2014-01-23T14:00:00Z,150.39
Synthetic,2014-01-23T15:00:00Z,140.09
Synthetic,2014-01-23T16:00:00Z,135.92
Synthetic,2014-01-23T17:00:00Z,140.45
Synthetic,2014-01-23T18:00:00Z,159.2
Synthetic,2014-01-23T19:00:00Z,134.48
Synthetic,2014-01-23T20:00:00Z,136.1
Synthetic,2014-01-23T21:00:00Z,133.05
Synthetic,2014-01-23T22:00:00Z,136.95
Synthetic,2014-01-23T23:00:00Z,41.62
Synthetic,2014-01-24T00:00:00Z,38.94
Synthetic,2014-01-24T01:00:00Z,43.14
Synthetic,2014-01-24T02:00:00Z,46.08
Synthetic,2014-01-24T03:00:00Z,49.48
Synthetic,2014-01-24T04:00:00Z,49.53
Synthetic,2014-01-24T05:00:00Z,52.94
Synthetic,2014-01-24T06:00:00Z,56.09
Synthetic,2014-01-24T07:00:00Z,215.38
